Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1,""0.33uF"",""C_Disc_D4.7mm_W2.5mm_P5.00mm"",101.380000,-58.985000,-90.000000,top"
"C2,""0.1uF"",""C_Disc_D4.7mm_W2.5mm_P5.00mm"",96.480000,-58.785000,-90.000000,top"
"C3,""0.33uF"",""C_Disc_D4.7mm_W2.5mm_P5.00mm"",80.940000,-59.120000,-90.000000,top"
"C4,""0.1uF"",""C_Disc_D4.7mm_W2.5mm_P5.00mm"",76.950000,-59.000000,-90.000000,top"
"D1,""LED"",""LED_D4.0mm"",95.150000,-44.325000,90.000000,top"
"D2,""LED"",""LED_D4.0mm"",82.300000,-44.275000,90.000000,top"
"J1,""Screw_Terminal_01x02"",""TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal"",97.400000,-33.245000,180.000000,top"
"J2,""Screw_Terminal_01x02"",""TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal"",84.650000,-33.250000,180.000000,top"
"J3,""Screw_Terminal_01x02"",""TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal"",86.200000,-62.600000,0.000000,top"
"R1,""330 Ohm"",""R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal"",98.660000,-47.545000,180.000000,top"
"R2,""330 Ohm"",""R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal"",85.910000,-47.550000,180.000000,top"
"U1,""LM7805_TO220"",""TO-220-3_Vertical"",97.260000,-52.345000,180.000000,top"
"U2,""LM7809_TO220"",""TO-220-3_Vertical"",84.800000,-52.200000,180.000000,top"
