"Id";"Oznaczenie";"Footprint";"Liczba";"Oznaczenie";"Dostawca i numer artykułu";
1;"D3,D8,D1,D5,D7,D6,D2,D4";"D_DO-27_P15.24mm_Horizontal";8;"D_Schottky";;;
2;"J3";"TerminalBlock_Phoenix_MKDS-3-12-5.08_1x12_P5.08mm_Horizontal";1;"Screw_Terminal_01x12";;;
3;",,";"";3;"";;;
4;"C2,C3";"C_Rect_L7.5mm_W6.5mm_P5.00mm";2;"100nF";;;
5;"J1,J2";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";2;"Screw_Terminal_01x02";;;
6;"C1";"C_Rect_L10.0mm_W3.0mm_P7.50mm_FKS3_FKP3";1;"3.3nF";;;
7;"U2";"TO-220-15_P2.54x2.54mm_StaggerOdd_Lead4.58mm_Vertical";1;"L298N";;;
8;"Rs1,Rs2";"R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal";2;"0.5 Ohm";;;
9;"J4";"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal";1;"Screw_Terminal_01x04";;;
10;"C4";"CP_Radial_D13.0mm_P5.00mm";1;"470uF";;;
11;"U1";"DIP-20_W7.62mm";1;"L297";;;
12;"R1";"R_Axial_DIN0922_L20.0mm_D9.0mm_P25.40mm_Horizontal";1;"22k";;;
